Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
Lesotho,03-07-2020 23:35,-29.609988,28.233608,35,0,11,24,1.633794717,,,0,426,LSO
Liberia,03-07-2020 23:35,6.428055,-9.429499,833,37,346,450,16.47001183,,,4.441776711,430,LBR
Libya,03-07-2020 23:35,26.3351,17.228331,918,27,230,661,13.35994261,,,2.941176471,434,LBY
Liechtenstein,03-07-2020 23:35,47.14,9.55,83,1,81,1,217.6364161,,,1.204819277,438,LIE
Lithuania,03-07-2020 23:35,55.1694,23.8813,1828,79,1539,210,67.14932386,,,4.32166302,440,LTU
Luxembourg,03-07-2020 23:35,49.8153,6.1296,4447,110,4016,321,710.4106228,,,2.473577693,442,LUX
MS Zaandam,03-07-2020 23:35,,,9,2,,7,,,,22.22222222,8888,
Madagascar,03-07-2020 23:35,-18.766947,46.869107,2512,26,1057,1429,9.071533265,,,1.035031847,450,MDG
Malawi,03-07-2020 23:35,-13.254308,34.301525,1498,16,317,1165,7.830650935,,,1.068090788,454,MWI
Malaysia,03-07-2020 23:35,4.210484,101.975766,8648,121,8446,81,26.71939855,,,1.399167438,458,MYS
Maldives,03-07-2020 23:35,3.2028,73.2207,2410,10,1976,424,445.8487962,,,0.414937759,462,MDV
Mali,03-07-2020 23:35,17.570692,-3.996166,2285,117,1507,661,11.2834859,,,5.120350109,466,MLI
Malta,03-07-2020 23:35,35.9375,14.3754,672,9,650,13,152.1949363,,,1.339285714,470,MLT
Mauritania,03-07-2020 23:35,21.0079,-10.9408,4705,129,1765,2811,101.1901946,,,2.741764081,478,MRT
Mauritius,03-07-2020 23:35,-20.348404,57.552152,341,10,330,1,26.81308762,,,2.93255132,480,MUS
Moldova,03-07-2020 23:35,47.4116,28.3699,17445,572,10093,6780,432.4531484,,,3.278876469,498,MDA
Monaco,03-07-2020 23:35,43.7333,7.4167,106,4,95,7,270.1049842,,,3.773584906,492,MCO
Mongolia,03-07-2020 23:35,46.8625,103.8467,220,0,179,41,6.710811606,,,0,496,MNG
Montenegro,03-07-2020 23:35,42.708678,19.37439,663,13,315,335,105.5628266,,,1.960784314,499,MNE
Morocco,03-07-2020 23:35,31.7917,-7.0926,13288,230,9160,3898,36.00053947,,,1.730885009,504,MAR
Mozambique,03-07-2020 23:35,-18.665695,35.529562,939,6,249,684,3.004277496,,,0.638977636,508,MOZ
Namibia,03-07-2020 23:35,-22.9576,18.4904,350,0,25,325,13.77456004,,,0,516,NAM
Nepal,03-07-2020 23:35,28.1667,84.25,15259,32,6143,9084,52.37018413,,,0.209712301,524,NPL
New Zealand,03-07-2020 23:35,-40.9006,174.886,1530,22,1490,18,31.72803969,,,1.437908497,554,NZL
Nicaragua,03-07-2020 23:35,12.865416,-85.207229,2519,83,1238,1198,38.02520139,,,3.294958317,558,NIC
Niger,03-07-2020 23:35,17.607789,8.081666,1082,68,963,51,4.469848681,,,6.284658041,562,NER
Nigeria,03-07-2020 23:35,9.082,8.6753,27564,628,11069,15867,13.37152189,,,2.278334059,566,NGA
North Macedonia,03-07-2020 23:35,41.6086,21.7453,6787,328,2876,3583,325.7687028,,,4.832768528,807,MKD
Oman,03-07-2020 23:35,21.512583,55.923255,43929,193,26169,17567,860.2359838,,,0.439345307,512,OMN
Panama,03-07-2020 23:35,8.538,-80.7821,35237,667,16445,18125,816.6603627,,,1.892896671,591,PAN
Papua New Guinea,03-07-2020 23:35,-6.314993,143.95555,11,0,8,3,0.122945868,,,0,598,PNG
Paraguay,03-07-2020 23:35,-23.4425,-58.4438,2349,19,1113,1217,32.93361542,,,0.808854832,600,PRY
Philippines,03-07-2020 23:35,12.879721,121.774017,40336,1280,11073,27983,36.80927233,,,3.173343911,608,PHL
Poland,03-07-2020 23:35,51.9194,19.1451,35405,1507,22651,11247,93.54868158,,,4.256460952,616,POL
Portugal,03-07-2020 23:35,39.3999,-8.2245,43156,1598,28424,13134,423.2346776,,,3.702845491,620,PRT
Qatar,03-07-2020 23:35,25.3548,51.1839,98653,121,88583,9949,3424.191096,,,0.122652124,634,QAT
Romania,03-07-2020 23:35,45.9432,24.9668,28166,1708,19545,6913,146.4105707,,,6.064048853,642,ROU
Rwanda,03-07-2020 23:35,-1.9403,29.8739,1081,3,512,566,8.346066683,,,0.277520814,646,RWA
Saint Kitts and Nevis,03-07-2020 23:35,17.357822,-62.782998,15,0,15,0,28.19972928,,,0,659,KNA
Saint Lucia,03-07-2020 23:35,13.9094,-60.9789,22,0,19,3,11.98067843,,,0,662,LCA
Saint Vincent and the Grenadines,03-07-2020 23:35,12.9843,-61.2872,29,0,29,0,26.13860672,,,0,670,VCT
San Marino,03-07-2020 23:35,43.9424,12.4578,698,42,656,0,2056.691614,,,6.017191977,674,SMR
Sao Tome and Principe,03-07-2020 23:35,0.18636,6.613081,719,13,267,439,328.0693189,,,1.808066759,678,STP
Saudi Arabia,03-07-2020 23:35,23.885942,45.079162,201801,1802,140614,59385,579.6569511,,,0.892958905,682,SAU
Senegal,03-07-2020 23:35,14.4974,-14.4524,7164,125,4666,2373,42.78565426,,,1.744835288,686,SEN
Serbia,03-07-2020 23:35,44.0165,21.0059,15504,298,13064,2142,177.4447002,,,1.922084623,688,SRB
Seychelles,03-07-2020 23:35,-4.6796,55.492,81,0,11,70,82.36729713,,,0,690,SYC
Sierra Leone,03-07-2020 23:35,8.460555,-11.779889,1524,62,1042,420,19.10496259,,,4.06824147,694,SLE
Singapore,03-07-2020 23:35,1.2833,103.8333,44479,26,39769,4684,760.2802092,,,0.058454552,702,SGP
Slovakia,03-07-2020 23:35,48.669,19.699,1720,28,1466,226,31.50389137,,,1.627906977,703,SVK
Slovenia,03-07-2020 23:35,46.1512,14.9955,1650,111,1384,155,79.36767533,,,6.727272727,705,SVN
Somalia,03-07-2020 23:35,5.152149,46.199616,2944,90,951,1903,18.52362319,,,3.057065217,706,SOM
South Africa,03-07-2020 23:35,-30.5595,22.9375,177124,2952,86298,87874,298.6476349,,,1.666629028,710,ZAF
South Sudan,03-07-2020 23:35,6.877,31.307,2021,38,333,1650,18.05475191,,,1.880257298,728,SSD
Sri Lanka,03-07-2020 23:35,7.873054,80.771797,2069,11,1863,195,9.662241836,,,0.531657806,144,LKA
Sudan,03-07-2020 23:35,12.8628,30.2176,9663,604,4624,4435,22.03685539,,,6.250646797,729,SDN
Suriname,03-07-2020 23:35,3.9193,-56.0278,561,13,267,281,95.63032487,,,2.317290553,740,SUR
Syria,03-07-2020 23:35,34.802075,38.996815,328,10,123,195,1.874215351,,,3.048780488,760,SYR
Taiwan*,03-07-2020 23:35,23.7,121,449,7,438,4,1.885225854,,,1.559020045,158,TWN
Tajikistan,03-07-2020 23:35,38.861034,71.276093,6058,52,4690,1316,63.51674764,,,0.858369099,762,TJK
Tanzania,03-07-2020 23:35,-6.369028,34.888822,509,21,183,305,0.852107987,,,4.125736739,834,TZA
Thailand,03-07-2020 23:35,15.870032,100.992541,3180,58,3066,56,4.555875361,,,1.823899371,764,THA
Timor-Leste,03-07-2020 23:35,-8.874217,125.727539,24,0,24,0,1.82033036,,,0,626,TLS
Togo,03-07-2020 23:35,8.6195,0.8248,671,14,424,233,8.105101056,,,2.086438152,768,TGO
Trinidad and Tobago,03-07-2020 23:35,10.6918,-61.2225,130,8,115,7,9.289091534,,,6.153846154,780,TTO
Tunisia,03-07-2020 23:35,33.886917,9.537499,1181,50,1045,86,9.992708115,,,4.233700254,788,TUN
Turkey,03-07-2020 23:35,38.9637,35.2433,203456,5186,178278,19992,241.2357727,,,2.548954074,792,TUR
Uganda,03-07-2020 23:35,1.373333,32.290275,911,0,849,62,1.99164863,,,0,800,UGA
United Arab Emirates,03-07-2020 23:35,23.424076,53.847818,50141,318,39153,10670,506.9663512,,,0.634211524,784,ARE
Uruguay,03-07-2020 23:35,-32.5228,-55.7658,952,28,837,87,27.40572302,,,2.941176471,858,URY
Uzbekistan,03-07-2020 23:35,41.377491,64.585262,9396,29,6251,3116,28.07357296,,,0.308641975,860,UZB
Venezuela,03-07-2020 23:35,6.4238,-66.5897,6273,57,2100,4116,22.06010893,,,0.908656145,862,VEN
Vietnam,03-07-2020 23:35,14.058324,108.277199,355,0,340,15,0.364706357,,,0,704,VNM
West Bank and Gaza,03-07-2020 23:35,31.9522,35.2332,3334,11,463,2860,65.35440356,,,0.329934013,275,PSE
Western Sahara,03-07-2020 23:35,24.2155,-12.8858,10,1,8,1,1.674116485,,,10,732,ESH
Yemen,03-07-2020 23:35,15.552727,48.516388,1240,335,536,369,4.157450984,,,27.01612903,887,YEM
Zambia,03-07-2020 23:35,-13.133897,27.849332,1632,30,1348,254,8.877305842,,,1.838235294,894,ZMB
Zimbabwe,03-07-2020 23:35,-19.015438,29.154857,625,7,176,442,4.205093653,,,1.12,716,ZWE
